0,1,2,3,4,5
reactjs,android,ios,,,
php,java,mysql,,,
ios,c,objective-c,,,
android,ios,java,,,
android,mobile,java,,,
algorithm,java,python,,,
php,laravel,mysql,,,
python,nosql,java,,,
azure,windows,asp.net-web-api,,,
azure,c,asp.net-web-api,,,
xml,cloud,javascript,,,
hadoop,java,bigdata,,,
angularjs,javascript,adobe,sysadmin,,
java,scala,,,,
java,java-ee,,,,
android,xml,java,,,
php,xml,jquery,,,
c++,android,java,,,
java,design,java-ee,,,
spring,java,spring-mvc,,,
java,java-ee,spring,,,
java,java-ee,spring,,,
java,spring,spring-mvc,,,
java,spring,java-ee,,,
c#,asp.net,.net,,,
jquery,javascript,html5,,,
reactjs,javascript,android,,,
ios,swift,cocoa,,,
.net,c#,vb.net,,,
c#,wcf,.net,,,
android,ios,java,,,
reactjs,spring,spring-mvc,,,
java,,,,,
java,vb.net,c#,,,
java,vb.net,c#,,,
oracle,java,,,,
wordpress,php,html,,,
php,wordpress,,,,
php,mysql,wordpress,,,
php,wordpress,css,,,
php,mysql,wordpress,,,
php,javascript,twitter-bootstrap,,,
qa,testing,automation,,,
qa,testing,automation,,,
angularjs,javascript,git,,,
php,mysql,rest,,,
php,mysql,wordpress,,,
javascript,angularjs,css,,,
c#,c++,.net,,,
python,django,postgresql,,,
css,html,user-interface,,,
hadoop,web-services,,,,
c#,.net,sql-server,,,
java,reactjs,tdd,,,
c#,asp.net,asp.net-mvc,,,
java,spring,hibernate,,,
java,,,,,
reactjs,javascript,css,,,
backbone.js,javascript,css,,,
php,angularjs,mysql,,,
ajax,c#,javascript,,,
c#,sql-server,asp.net,,,
c#,xml,html,javascript,,
angularjs,.net,javascript,,,
angularjs,javascript,ajax,,,
java,spring,rest,,,
reactjs,ios,android,,,
angularjs,node.js,project-management,,,
web-services,project-management,security,,,
agile,cloud,java,,,
agile,scrum,user-experience,,,
java,reactjs,angularjs,,,
automation,automated-tests,javascript,linux,sql,
azure,docker,node.js,,,
php,javascript,mysql,,,
objective-c,osx,php,,,
javascript,python,node.js,,,
java,javascript,node.js,,,
node.js,javascript,html,,,
php,mysql,lamp,,,
python,r,amazon-web-services,,,
vb.net,java,oracle,,,
c,ruby-on-rails,javascript,,,
javascript,,,,,
python,django,,,,
vb.net,java,c#,,,
vb.net,java,c#,,,
reactjs,javascript,cloud,graphql,,
python,r,sql,,,
python,r,,,,
php,python,mysql,,,
c#,asp.net-mvc,asp.net,,,
http,,,,,
docker,http,java,,,
java,c#,,,,
c++,java,qt,,,
java,,,,,
java,,,,,
java,java-ee,,,,
c++,java,qt,,,
java,,,,,
php,wordpress,css,,,
php,wordpress,html5,,,
java,php,oracle,,,
php,javascript,,,,
php,,,,,
c#,c#-4.0,xamarin,,,
wordpress,php,javascript,,,
java,oracle,sql,,,
python,,,,,
reactjs,node.js,typescript,docker,amazon-web-services,
reactjs,python,amazon-web-services,redux,flask,
sql,amazon-web-services,python,,,
reactjs,node.js,design,javascript,amazon-web-services,
,,,,,
azure,asp.net-web-api,.net,ipaas,c#,
c#,.net,sql-server,javascript,amazon-web-services,
c++,deep-learning,computer-vision,algorithm,sdk,
c++,llvm,llvm-clang,compiler-construction,compiler-optimization,
scrum,agile,,,,
android,ios,sql,linux,php,
c++,python,c,,,
oracle,etl,machine-learning,,,
java,python,design,,,
c,embedded,c++,,,
project-management,python,design,,,
c++,android,mobile,,,
project-management,python,design,,,
java,c++,php,,,
linux,osx,java,,,
project-management,python,design,,,
security,web-services,,,,
clojure,,,,,
java,c++,php,,,
web-services,design,,,,
security,web-services,c++,,,
project-management,,,,,
python,django,google-cloud-platform,postgresql,,
python,amazon-web-services,terraform,ansible,java,
javascript,asp.net,,,,
ruby-on-rails,ruby,ember.js,heroku,javascript,
webapi,css,agile,sql-server,,
continuous-integration,sql,api,hl7-fhir,json,
reactjs,wordpress,javascript,amazon-web-services,content-management-system,
python,typescript,amazon-web-services,javascript,,
scrum,agile,,,,
ruby-on-rails,ember.js,javascript,heroku,postgresql,
.net,c#,css,javascript,content-management-system,
java,maven,client-server,backend,sql,
mongodb,python,docker,,,
reactjs,redux,webpack,sass,es6,
javascript,mobile,nativescript,web-applications,microservices,
user-experience,user-interface,design,,,
scrum,agile,,,,
angularjs,javascript,linux,web,git,
amazon-web-services,linux,kubernetes,jenkins,sysadmin,
laravel,php,mysql,javascript,vue.js,
reactjs,android,ios,react-native,mobile,
scrum,agile,,,,
machine-learning,python,,,,
agile,scrum,,,,
python,reactjs,django,,,
php,reactjs,database,web-applications,node.js,
c#,.net,sql-server,wpf,,
user-interface,user-experience,javascript,html,css,
javascript,reactjs,react-redux,react-native,redux,
reactjs,javascript,testing,python,,
security,,,,,
amazon-web-services,kubernetes,devops,,,
c,c++,docker,gstreamer,computer-vision,
cloud,web-services,project-management,kubernetes,,
c#,javascript,azure-sql-database,azure-logic-apps,dynamics-crm,
machine-learning,hadoop,,,,
java,spring,java-ee,spring-boot,,
java,amazon-web-services,jvm,terraform,kubernetes,
reactjs,javascript,api,ruby,python,
amazon-web-services,puppet,dynamodb-queries,agile,python,
go,django,python,vue.js,javascript,
amazon-web-services,security,cloud,linux,,
java,spring-boot,java-stream,microservices,java-8,
cucumber,selenium,jenkins,,,
scrum,b2b,roadmap,javascript,user-interface,
asp.net-mvc,webforms,.net,sql-server,entity-framework,
javascript,reactjs,express,node.js,microservices,
python,jest,reactjs,,,
ios,reactjs,xamarin,swift,react-native,
security,,,,,
saas,security,,,,
user-interface,user-experience,design,,,
python,amazon-web-services,security,penetration-testing,docker,
python,backend,amazon-web-services,postgresql,terraform,
security,,,,,
apache-spark-sql,,,,,
python,reactjs,javascript,,,
capacity-planning,estimation,resourcemanager,,,
ruby,go,python,reactjs,,
selenium,,,,,
amazon-web-services,api,web-services,python,node.js,
amazon-web-services,javascript,oop,vue.js,php,
embedded,c,rtos,arm,bootloader,
fpga,vhdl,vivado,verilog,embedded,
.net,c#,,,,
security,amazon-web-services,docker,mysql,,
java,c,oracle,,,
java,spring,microservices,apache-kafka,hibernate,
ios,objective-c,swift,,,
java,spring,java-ee,oracle,,
kubernetes,prometheus,ci,cd,git,
security,automation,devops,sre,sysadmin,
.net,javascript,angular,c#,.net-core,
amazon-web-services,agile,web-services,,,
shell,cloud,python,,,
vue.js,frontend,scrum,microservices,javascript,
swing,java,hsqldb,javascript,c++,
python,machine-learning,sql,numpy,scipy,
user-experience,css,html,,,
vba,powershell,identity,,,
pos,hana,sap,abap,,
mobile,android,kotlin,firebase,java,
azure,cloud,oracle,,,
sapbw,abap,hana,,,
java,eclipse,java-ee,sql,,
reactjs,mean-stack,mean,,,
python,java,ruby,javascript,c#,
,,,,,
amazon-web-services,user-experience,clojure,,,
python,java,ruby,javascript,c#,
python,java,ruby,javascript,c#,
sysadmin,,,,,
python,java,ruby,javascript,c#,
python,java,ruby,javascript,c#,
java,agile,mobile,,,
java,unit-testing,microservices,amazon-web-services,continuous-deployment,
sysadmin,database,automation,,,
continuous-integration,node.js,unit-testing,javascript,typescript,
javascript,reactjs,,,,
android,kotlin,agile,java,unit-testing,
reactjs,sql,node.js,angularjs,spring-boot,
angular,scss,typescript,,,
c#,asp.net,sql-server,entity-framework,knockout.js,
node.js,,,,,
java,kotlin,,,,
web-services,design,,,,
web-services,,,,,
.net,c#,asp.net-mvc,,,
terraform,kubernetes,typescript,jenkins,bash,
user-experience,user-interface,design,sketch-3,zeplin,
python,web-services,,,,
security,testing,amazon-web-services,cloud,,
agile,,,,,
agile,,,,,
.net,.net-core,javascript,entity-framework,azure,
apache-spark,apache,hadoop,r,sql,
mysql,project-management,design,,,
java,javascript,node.js,reactjs,docker,
clojure,sql,sas,algorithm,data-modeling,
php,css,html,drupal,javascript,
sql,azure,clojure,hadoop,apache,
sql,database,snowflake-datawarehouse,dataset,data-visualization,
go,kubernetes,amazon-web-services,docker,devops,
amazon-web-services,web-services,cloud,,,
.net,c#,angularjs,,,
reactjs,javascript,angularjs,html,css,
java,java-ee,spring,scrum,kanban,
.net-core,angular,c#,javascript,asp.net-mvc,
typescript,javascript,html,css,angularjs,
python,amazon-web-services,salt-stack,amazon-ec2,unix,
java,javascript,groovy,,,
scala,api-design,architecture,spark-streaming,python,
php,javascript,laravel,node.js,reactjs,
.net,c#,.net-core,oop,sql,
java,spring,rest,.net,,
android,mobile,ios,,,
jquery,css,drupal,php,twig,
sql,oracle,linux,sap,windows,
erp,crm,sql,javascript,c#,
javascript,ember.js,node.js,,,
linux,zendesk,servicenow,sysadmin,,
symfony,php,magento,mysql,,
java,maven,spring,gradle,jenkins,
kubernetes,docker,prometheus,security,logging,
reactjs,spring,spring-mvc,python,javascript,
google-cloud-platform,microservices,go,serverless,amazon-web-services,
google-cloud-platform,microservices,go,serverless,amazon-web-services,
java,maven,gradle,scrum,kanban,
cloud,docker,kubernetes,git,sysadmin,
etl,web-services,python,,,
osx,project-management,zos,db2,,
,,,,,
project-management,sql,c#,,,
project-management,,,,,
reactjs,agile,javascript,symfony,,
python,scala,apache-spark,,,
linux,sysadmin,redhat,sas,vmware,
github,git,apis,sass,react,
kotlin,react-native,swift,,,
spring,spring-mvc,rest,qa,mobile,
java,scala,clojure,python,node.js,
swift,objective-c,ios,ipad,firebase,
amazon-web-services,python,devops,serverless,kubernetes,
php,mysql,java,c,redis,
network-security,mysql,bash,php,database-management,sysadmin
drupal,scoping,,,,
c#,asp.net,javascript,,,
linux,automation,virtualization,powershell,python,
devops,amazon-web-services,git,docker,computer-science,
java,c++,c#,python,,
java,c++,c#,python,oop,
html,css,javascript,vue.js,reactjs,
php,symfony,oop,html,css,
amazon-web-services,,,,,
python,sql,r,,,
java,c++,scala,,,
c#,angular,asp.net,azure-devops,visual-studio,
python,,,,,
design,,,,,
java,c,c++,,,
,,,,,
ios,,,,,
java,c,c++,,,
scala,java,sql,,,
java,c++,scala,,,
reactjs,node.js,api,,,
apache-spark,machine-learning,java,,,
computer-science,,,,,
c#,docker,kubernetes,bitbucket,nexus,
azure,asp.net-web-api,windows,,,
reactjs,javascript,css,angular,html5,
amazon-web-services,docker,git,spark,,
architecture,prototype,c++,java,go,
java,linux,amazon-web-services,microservices,apache-kafka,
java,testing,jdbc,c#,maven,
embedded,c,emv,linux,payment-processing,
javascript,css,html,angular,reactjs,
c#,azure,.net,tdd,.net-core,
apex,github,salesforce-lightning,salesforce,,
angularjs,python,django,typescript,angular,
,,,,,
javascript,ecmascript-6,vue.js,typescript,polymer,
python,django,kubernetes,typescript,angular,
java,spring,microservices,rest,apache-kafka,
java,docker,terraform,kubernetes,amazon-web-services,
amazon-web-services,java,kubernetes,scripting,unix,
reactjs,node.js,javascript,redux,user-interface,
java,java-ee,,,,
java,java-ee,spring,,,
networking,css,responsive-design,,,
r,project-management,design,,,
web-services,sql,,,,
automation,,,,,
machine-learning,testing,,,,
javascript,node.js,reactjs,,,
pos,,,,,
cloud,mysql,postgresql,sql,python,
python,django,reactjs,kubernetes,,
etl,python,sql,,,
c++,c,python,embedded,,
javascript,design,,,,
php,symfony2,zend-framework,,,
windows,sysadmin,sql-server,,,
reactjs,javascript,node.js,clojure,python,
clojure,javascript,reactjs,node.js,python,
http,web-services,,,,
cloud,project-management,amazon-web-services,,,
scrum,jira,confluence,sql,oracle,
javascript,html5,vue.js,babel,scss-lint,
ansible,linux,java,pacemaker,kvm,
node.js,javascript,testing,,,
java,kotlin,swift,ci,cd,
reactjs,node.js,amazon-web-services,,,
java,spring,hibernate,multithreading,,
javascript,angularjs,css,,,
java,java-ee,maven,angular,,
java,java-ee,testing,.net,mongodb,
python,security,rust,,,
java,spring,hibernate,java-ee,python,
javascript,node.js,css,html,,
reactjs,react-native,javascript,,,
project-management,design,,,,
http,web-services,design,,,
http,web-services,design,,,
http,,,,,
java,postgresql,kotlin,docker,,
lead,,,,,
ios,mobile,android,java,json,
java,intellij-idea,spring,html5,javascript,
java,intellij-idea,spring,hibernate,infinispan,
cloud,automation,devops,toolchain,ansible,
saas,cloud,amazon-web-services,,,
cloud,,,,,
saas,cloud,amazon-web-services,,,
cloud,,,,,
java,cloud,continuous-integration,,,
azure,asp.net-web-api,continuous-integration,c#,,
linux,vmware,sysadmin,shell,,
user-experience,css,javascript,rest,web-component,
amazon-web-services,solid-principles,machine-learning,java,backend,
java,design-patterns,refactoring,sustainable-pace,,
operating-system,server,client,,,
javascript,reactjs,css,typescript,git,
android,java,mobile,kotlin,,
node.js,oop,scrum,,,
c++,qt,,,,
sql,cloud,database,s4,sysadmin,
reactjs,javascript,node.js,,,
java,cloud,spring,jakarta-ee,junit,
angular,reactjs,javascript,html,git,
java,mysql,jira-rest-api,content-management-system,sharepoint,
c#,c++,git,svn,continuous-integration,
c#,c++,.net,unit-testing,git,
c#,tfs,git,ranorex,user-interface,
amazon-web-services,devops,azure,continuous-integration,continuous-delivery,
c,c++,,,,
c#,.net,architecture,tsql,design-patterns,
r,security,,,,
java,spring,hibernate,postgresql,restful,
.net,c#,windows,sql,azure,
reactjs,java,javascript,,,
amazon-web-services,,,,,
c++,python,qt,,,
ruby-on-rails,ruby,go,,,
java,postgresql,java-ee,,,
reactjs,mysql,ruby,,,
objective-c,android,mobile,,,
c#,ios,azure,,,
docker,amazon-web-services,ruby-on-rails,,,
java,javascript,java-ee,,,
java,oracle,sql,,,
java,agile,design,,,
security,testing,,,,
c++,c,linux,embedded-linux,linux-kernel,
reactjs,python,flask,,,
reactjs,c#,asp.net,,,
java,,,,,
java,,,,,
c#,vb.net,java,,,
go,lamp,ruby,,,
